Genus,Species
Palaemon,pacificus
Panulirus,polyphagus
Panulirus,interruptus
Homarus,gammarus
Dardanus,megistos
Dardanus,calidus
Dardanus,pedunculatus
Dardanus,deformis
Dardanus,arrosor
Birgus,latro
Petrolisthes,armatus
Macropodia,rostrata
Carpilius,maculatus
Cancer,bellianus
Cancer,irroratus
Pinnoctopus,cordiformis
Carcinus,aestuarii
Portunus,pelagicus
Uca,pugilator
Uca,crassipes
Uca,longisignalis
Ocypode,quadrata
Ocypode,cursor
Ocypode,africana
Halobates,sericeus
Coelopleurus,floridanus
Coelopleurus,exquisitus
Flustra,foliacea
Culcita,novaeguineae
Luidia,neozelanica
Luidia,quinaria
Luidia,maculata
Iconaster,longimanus
Astrobrachion,adhaerens
Astrobrachion,constrictum
Ophiothrix,angulata
castor,canadensis
Lophotus,lacepede
Lophotus,capellei
Siniperca,scherzeri
Siniperca,chuatsi
Synchiropus,splendidus
Thaumoctopus,mimicus
Anampses,cuvier
Anampses,caeruleopunctatus
Anampses,chrysocephalus
Amphiprion,melanopus
Hermodice,carunculata
Haplochromis,nyererei
Haplochromis,aeneocolor
Haplochromis,argens
Haplochromis,latifasciatus
Haplochromis,degeni
Salpa,fusiformis
Halimeda,tuna
Dictyosphaeria,cavernosa
Chlorodesmis,fastigiata
Halodule,wrightii
Hippolyte,varians
Acanthophora,spicifera
Berardius,arnuxii
Mesoplodon,bidens
Mesoplodon,bowdoini
Mesoplodon,densirostris
Mesoplodon,europaeus
Mesoplodon,ginkgodens
Mesoplodon,grayi
Mesoplodon,hectori
Mesoplodon,mirus
Mesoplodon,peruvianus
Mesoplodon,stejnegeri
Tasmacetus,shepherdi
Ziphius,cavirostris
Pseudorca,crassidens
Kogia,breviceps
Kogia,sima
Peponocephala,electra
Hyperoodon,planifrons
Eschrichtius,robustus
Balaenoptera,physalus
Balaenoptera,acutorostrata
Balaenoptera,borealis
Balaenoptera,brydei
Balaenoptera,edeni
Balaenoptera,omurai
Balaenoptera,ricei
Balaenoptera,bonaerensis
Megalodicopia,hians
Balaena,mysticetus
Munida,gregaria
Lambis,crocata
Thenus,orientalis
Synaphobranchus,kaupii
Phycis,blennoides
Spheniscus,mendiculus
Eudyptes,pachyrhynchus
Spheniscus,demersus
Eudyptes,chrysolophus
Eudyptes,schlegeli
Spheniscus,humboldti
Eudyptula,minor
Megadyptes,antipodes
Caspiomyzon,hellenicus
Entosphenus,minimus
Entosphenus,tridentatus
Eudontomyzon,danfordi
Eudontomyzon,mariae
Eudontomyzon,stankokaramani
Geotria,australis
Ichthyomyzon,bdellium
Lampetra,aepyptera
Lampetra,ayresii
Lampetra,fluviatilis
Lampetra,richardsoni
Lampetra,zanandreai
Lethenteron,appendix
Lethenteron,reissneri
Mordacia,lapicida
Mordacia,praecox
Chaetodontoplus,meredithi
Abudefduf,taurus
Alopias,superciliosus
Austrolebias,bellottii
Leptolebias,opalescens
Onuxodon,fowleri
Simpsonichthys,boitonei
Simpsonichthys,constanciae
Simpsonichthys,nigromaculatus
Simpsonichthys,parallelus
Actinopyga,agassizi
